Date;Open;High;Low;Close;Volume
Monday, December 23, 2019;18.06;18.06;18.06;18.06;--
Friday, December 20, 2019;18.11;18.11;18.11;18.11;--
Thursday, December 19, 2019;17.91;17.91;17.91;17.91;--
Wednesday, December 18, 2019;17.82;17.82;17.82;17.82;--
Tuesday, December 17, 2019;17.74;17.74;17.74;17.74;--
Monday, December 16, 2019;17.75;17.75;17.75;17.75;--
Friday, December 13, 2019;17.63;17.63;17.63;17.63;--
Thursday, December 12, 2019;17.49;17.49;17.49;17.49;--
Wednesday, December 11, 2019;17.36;17.36;17.36;17.36;--
Tuesday, December 10, 2019;17.33;17.33;17.33;17.33;--
Monday, December 09, 2019;17.43;17.43;17.43;17.43;--
Friday, December 06, 2019;17.51;17.51;17.51;17.51;--
Thursday, December 05, 2019;17.26;17.26;17.26;17.26;--
Wednesday, December 04, 2019;17.30;17.30;17.30;17.30;--
Tuesday, December 03, 2019;17.28;17.28;17.28;17.28;--
Monday, December 02, 2019;17.33;17.33;17.33;17.33;--
Friday, November 29, 2019;17.75;17.75;17.75;17.75;--
Thursday, November 28, 2019;17.83;17.83;17.83;17.83;--
Wednesday, November 27, 2019;17.84;17.84;17.84;17.84;--
Tuesday, November 26, 2019;17.69;17.69;17.69;17.69;--
Monday, November 25, 2019;17.61;17.61;17.61;17.61;--
Friday, November 22, 2019;17.35;17.35;17.35;17.35;--
Thursday, November 21, 2019;17.26;17.26;17.26;17.26;--
Wednesday, November 20, 2019;17.34;17.34;17.34;17.34;--
Tuesday, November 19, 2019;17.36;17.36;17.36;17.36;--
Monday, November 18, 2019;17.29;17.29;17.29;17.29;--
Friday, November 15, 2019;17.28;17.28;17.28;17.28;--
Thursday, November 14, 2019;17.15;17.15;17.15;17.15;--
Wednesday, November 13, 2019;17.18;17.18;17.18;17.18;--
Tuesday, November 12, 2019;17.16;17.16;17.16;17.16;--
Monday, November 11, 2019;17.08;17.08;17.08;17.08;--
Friday, November 08, 2019;17.07;17.07;17.07;17.07;--
Thursday, November 07, 2019;16.94;16.94;16.94;16.94;--
Wednesday, November 06, 2019;16.91;16.91;16.91;16.91;--
Tuesday, November 05, 2019;16.96;16.96;16.96;16.96;--
Monday, November 04, 2019;16.94;16.94;16.94;16.94;--
Friday, November 01, 2019;16.83;16.83;16.83;16.83;--
Thursday, October 31, 2019;16.65;16.65;16.65;16.65;--
Wednesday, October 30, 2019;16.80;16.80;16.80;16.80;--
Tuesday, October 29, 2019;16.67;16.67;16.67;16.67;--
Monday, October 28, 2019;16.84;16.84;16.84;16.84;--
Friday, October 25, 2019;16.67;16.67;16.67;16.67;--
Thursday, October 24, 2019;16.52;16.52;16.52;16.52;--
Wednesday, October 23, 2019;16.09;16.09;16.09;16.09;--
Tuesday, October 22, 2019;16.14;16.14;16.14;16.14;--
Monday, October 21, 2019;16.38;16.38;16.38;16.38;--
Friday, October 18, 2019;16.22;16.22;16.22;16.22;--
Thursday, October 17, 2019;16.55;16.55;16.55;16.55;--
Wednesday, October 16, 2019;16.62;16.62;16.62;16.62;--
Tuesday, October 15, 2019;16.96;16.96;16.96;16.96;--
Monday, October 14, 2019;16.77;16.77;16.77;16.77;--
Friday, October 11, 2019;16.75;16.75;16.75;16.75;--
Thursday, October 10, 2019;16.52;16.52;16.52;16.52;--
Wednesday, October 09, 2019;16.51;16.51;16.51;16.51;--
Tuesday, October 08, 2019;16.32;16.32;16.32;16.32;--
Monday, October 07, 2019;16.69;16.69;16.69;16.69;--
Friday, October 04, 2019;16.70;16.70;16.70;16.70;--
Thursday, October 03, 2019;16.51;16.51;16.51;16.51;--
Wednesday, October 02, 2019;16.27;16.27;16.27;16.27;--
Tuesday, October 01, 2019;16.53;16.53;16.53;16.53;--
Monday, September 30, 2019;16.73;16.73;16.73;16.73;--
Friday, September 27, 2019;16.51;16.51;16.51;16.51;--
Thursday, September 26, 2019;16.92;16.92;16.92;16.92;--
Wednesday, September 25, 2019;16.89;16.89;16.89;16.89;--
Tuesday, September 24, 2019;16.60;16.60;16.60;16.60;--
Monday, September 23, 2019;16.94;16.94;16.94;16.94;--
Friday, September 20, 2019;16.90;16.90;16.90;16.90;--
Thursday, September 19, 2019;16.95;16.95;16.95;16.95;--
Wednesday, September 18, 2019;16.97;16.97;16.97;16.97;--
Tuesday, September 17, 2019;16.90;16.90;16.90;16.90;--
Monday, September 16, 2019;16.90;16.90;16.90;16.90;--
Friday, September 13, 2019;16.77;16.77;16.77;16.77;--
Thursday, September 12, 2019;16.85;16.85;16.85;16.85;--
Wednesday, September 11, 2019;16.82;16.82;16.82;16.82;--
Tuesday, September 10, 2019;16.62;16.62;16.62;16.62;--
Monday, September 09, 2019;16.69;16.69;16.69;16.69;--
Friday, September 06, 2019;16.91;16.91;16.91;16.91;--
Thursday, September 05, 2019;16.92;16.92;16.92;16.92;--
Wednesday, September 04, 2019;16.66;16.66;16.66;16.66;--
Tuesday, September 03, 2019;16.53;16.53;16.53;16.53;--
Monday, September 02, 2019;16.72;16.72;16.72;16.72;--
Friday, August 30, 2019;16.68;16.68;16.68;16.68;--
Thursday, August 29, 2019;16.62;16.62;16.62;16.62;--
Wednesday, August 28, 2019;16.30;16.30;16.30;16.30;--
Tuesday, August 27, 2019;16.32;16.32;16.32;16.32;--
Monday, August 26, 2019;16.35;16.35;16.35;16.35;--
Friday, August 23, 2019;16.13;16.13;16.13;16.13;--
Thursday, August 22, 2019;16.63;16.63;16.63;16.63;--
Wednesday, August 21, 2019;16.66;16.66;16.66;16.66;--
Tuesday, August 20, 2019;16.46;16.46;16.46;16.46;--
Monday, August 19, 2019;16.55;16.55;16.55;16.55;--
Friday, August 16, 2019;16.38;16.38;16.38;16.38;--
Thursday, August 15, 2019;16.08;16.08;16.08;16.08;--
Wednesday, August 14, 2019;16.01;16.01;16.01;16.01;--
Tuesday, August 13, 2019;16.44;16.44;16.44;16.44;--
Monday, August 12, 2019;16.06;16.06;16.06;16.06;--
Friday, August 09, 2019;16.27;16.27;16.27;16.27;--
Thursday, August 08, 2019;16.48;16.48;16.48;16.48;--
Wednesday, August 07, 2019;16.05;16.05;16.05;16.05;--
Tuesday, August 06, 2019;15.95;15.95;15.95;15.95;--
Monday, August 05, 2019;15.77;15.77;15.77;15.77;--
Friday, August 02, 2019;16.53;16.53;16.53;16.53;--
Thursday, August 01, 2019;16.93;16.93;16.93;16.93;--
Wednesday, July 31, 2019;17.13;17.13;17.13;17.13;--
Tuesday, July 30, 2019;17.34;17.34;17.34;17.34;--
Monday, July 29, 2019;17.43;17.43;17.43;17.43;--
Friday, July 26, 2019;17.62;17.62;17.62;17.62;--
Thursday, July 25, 2019;17.47;17.47;17.47;17.47;--
Wednesday, July 24, 2019;17.71;17.71;17.71;17.71;--
Tuesday, July 23, 2019;17.43;17.43;17.43;17.43;--
Monday, July 22, 2019;17.28;17.28;17.28;17.28;--
Friday, July 19, 2019;17.08;17.08;17.08;17.08;--
Thursday, July 18, 2019;17.11;17.11;17.11;17.11;--
Wednesday, July 17, 2019;17.12;17.12;17.12;17.12;--
Tuesday, July 16, 2019;17.12;17.12;17.12;17.12;--
Monday, July 15, 2019;17.22;17.22;17.22;17.22;--
Friday, July 12, 2019;17.13;17.13;17.13;17.13;--
Thursday, July 11, 2019;17.05;17.05;17.05;17.05;--
Wednesday, July 10, 2019;16.99;16.99;16.99;16.99;--
Tuesday, July 09, 2019;16.94;16.94;16.94;16.94;--
Monday, July 08, 2019;16.81;16.81;16.81;16.81;--
Friday, July 05, 2019;16.89;16.89;16.89;16.89;--
Thursday, July 04, 2019;16.84;16.84;16.84;16.84;--
Wednesday, July 03, 2019;16.85;16.85;16.85;16.85;--
Tuesday, July 02, 2019;16.76;16.76;16.76;16.76;--
Monday, July 01, 2019;16.71;16.71;16.71;16.71;--
Friday, June 28, 2019;16.34;16.34;16.34;16.34;--
Thursday, June 27, 2019;16.32;16.32;16.32;16.32;--
Wednesday, June 26, 2019;16.14;16.14;16.14;16.14;--
Tuesday, June 25, 2019;16.03;16.03;16.03;16.03;--
Monday, June 24, 2019;16.32;16.32;16.32;16.32;--
Monday, June 17, 2019;16.19;16.19;16.19;16.19;--
Friday, June 14, 2019;16.15;16.15;16.15;16.15;--
Thursday, June 13, 2019;16.19;16.19;16.19;16.19;--
Wednesday, June 12, 2019;16.11;16.11;16.11;16.11;--
Tuesday, June 11, 2019;16.12;16.12;16.12;16.12;--
Monday, June 10, 2019;16.23;16.23;16.23;16.23;--
Friday, June 07, 2019;16.01;16.01;16.01;16.01;--
Thursday, June 06, 2019;15.86;15.86;15.86;15.86;--
Wednesday, June 05, 2019;15.78;15.78;15.78;15.78;--
Tuesday, June 04, 2019;15.55;15.55;15.55;15.55;--
Monday, June 03, 2019;15.14;15.14;15.14;15.14;--
Friday, May 31, 2019;15.63;15.63;15.63;15.63;--
Thursday, May 30, 2019;15.89;15.89;15.89;15.89;--
Wednesday, May 29, 2019;15.79;15.79;15.79;15.79;--
Tuesday, May 28, 2019;15.91;15.91;15.91;15.91;--
Monday, May 27, 2019;15.90;15.90;15.90;15.90;--
Friday, May 24, 2019;15.88;15.88;15.88;15.88;--
Thursday, May 23, 2019;15.89;15.89;15.89;15.89;--
Wednesday, May 22, 2019;16.24;16.24;16.24;16.24;--
Tuesday, May 21, 2019;16.28;16.28;16.28;16.28;--
Monday, May 20, 2019;16.08;16.08;16.08;16.08;--
Friday, May 17, 2019;16.46;16.46;16.46;16.46;--
Thursday, May 16, 2019;16.68;16.68;16.68;16.68;--
Wednesday, May 15, 2019;16.49;16.49;16.49;16.49;--
Tuesday, May 14, 2019;16.26;16.26;16.26;16.26;--
Monday, May 13, 2019;15.90;15.90;15.90;15.90;--
Friday, May 10, 2019;16.57;16.57;16.57;16.57;--
Thursday, May 09, 2019;16.51;16.51;16.51;16.51;--
Wednesday, May 08, 2019;16.59;16.59;16.59;16.59;--
Tuesday, May 07, 2019;16.66;16.66;16.66;16.66;--
Monday, May 06, 2019;17.00;17.00;17.00;17.00;--
Friday, May 03, 2019;17.12;17.12;17.12;17.12;--
Thursday, May 02, 2019;16.98;16.98;16.98;16.98;--
Wednesday, May 01, 2019;16.98;16.98;16.98;16.98;--
Tuesday, April 30, 2019;17.10;17.10;17.10;17.10;--
Monday, April 29, 2019;17.09;17.09;17.09;17.09;--
Friday, April 26, 2019;17.11;17.11;17.11;17.11;--
Thursday, April 25, 2019;17.03;17.03;17.03;17.03;--
Wednesday, April 24, 2019;16.94;16.94;16.94;16.94;--
